date,pred_dir,spx_close,daily_change_pct,real_dir_class,rsi,bb_width,atr,trend_ema9,vix_close,vix_mean
2026-01-22,UP,6913.35,-0.02,FLAT,52.61,0.0246,66.01,ABOVE_EMA9,15.64,16.02
2026-01-21,FLAT,6875.62,0.95,UP,49.08,0.0250,66.54,BELOW_EMA9,16.90,16.05
2026-01-20,FLAT,6796.86,-1.00,DOWN,40.47,0.0265,62.92,BELOW_EMA9,20.09,15.97
2026-01-16,FLAT,6940.01,-0.29,DOWN,56.63,0.0282,56.15,ABOVE_EMA9,15.86,15.56
2026-01-15,FLAT,6944.47,-0.36,DOWN,57.29,0.0364,57.22,ABOVE_EMA9,15.84,15.53
2026-01-14,FLAT,6926.60,-0.16,FLAT,55.35,0.0379,57.56,BELOW_EMA9,16.75,15.49
2026-01-13,FLAT,6963.74,-0.20,FLAT,60.67,0.0387,55.99,ABOVE_EMA9,15.98,15.37
2026-01-12,FLAT,6977.27,0.48,UP,62.71,0.0379,56.68,ABOVE_EMA9,15.12,15.31
2026-01-09,FLAT,6966.28,0.56,UP,61.74,0.0357,57.02,ABOVE_EMA9,14.49,15.33
2026-01-08,FLAT,6921.46,0.11,FLAT,57.55,0.0337,56.74,ABOVE_EMA9,15.45,15.41
2026-01-07,FLAT,6920.93,-0.35,DOWN,57.50,0.0332,58.64,ABOVE_EMA9,15.38,15.41
2026-01-06,FLAT,6944.82,0.53,UP,60.55,0.0324,59.58,ABOVE_EMA9,14.75,15.41
2026-01-05,FLAT,6902.05,0.14,FLAT,56.74,0.0306,60.57,ABOVE_EMA9,14.90,15.47
2026-01-02,UP,6858.47,-0.29,DOWN,52.39,0.0300,60.47,BELOW_EMA9,14.51,15.53
2025-12-31,UP,6845.50,-0.77,DOWN,51.03,0.0300,59.69,BELOW_EMA9,14.95,15.63
2025-12-30,FLAT,6896.24,-0.06,FLAT,56.94,0.0302,59.91,ABOVE_EMA9,14.33,15.70
2025-12-29,FLAT,6905.74,0.03,FLAT,58.11,0.0302,63.00,ABOVE_EMA9,14.20,15.84
2025-12-26,UP,6929.94,-0.09,FLAT,61.08,0.0293,64.67,ABOVE_EMA9,13.60,16.00
2025-12-24,FLAT,6932.05,0.39,UP,61.33,0.0275,67.79,ABOVE_EMA9,13.47,16.24
2025-12-23,UP,6909.79,0.54,UP,59.69,0.0264,70.51,ABOVE_EMA9,14.00,16.52
2025-12-22,UP,6878.49,0.19,FLAT,57.33,0.0292,72.70,ABOVE_EMA9,14.08,16.77
2025-12-19,UP,6834.50,0.62,UP,53.80,0.0398,74.63,ABOVE_EMA9,14.91,17.04
2025-12-18,DOWN,6774.76,-0.05,FLAT,48.41,0.0527,75.36,BELOW_EMA9,16.87,17.26
2025-12-17,UP,6721.43,-1.20,DOWN,42.89,0.0563,73.87,BELOW_EMA9,17.62,17.29
2025-12-16,FLAT,6800.26,0.00,FLAT,50.28,0.0600,72.49,BELOW_EMA9,16.48,17.26
2025-12-15,FLAT,6816.51,-0.64,DOWN,51.99,0.0617,73.48,BELOW_EMA9,16.50,17.34
2025-12-12,UP,6827.41,-0.86,DOWN,53.12,0.0617,74.51,BELOW_EMA9,15.74,17.42
2025-12-11,UP,6901.00,0.58,UP,61.47,0.0614,72.61,ABOVE_EMA9,14.85,17.59
2025-12-10,UP,6886.68,0.78,UP,60.34,0.0599,72.81,ABOVE_EMA9,15.77,17.87
2025-12-09,UP,6840.51,0.00,FLAT,56.54,0.0587,72.57,ABOVE_EMA9,16.93,18.08
2025-12-08,FLAT,6846.51,-0.42,DOWN,57.20,0.0585,76.04,ABOVE_EMA9,16.66,18.19
2025-12-05,UP,6870.40,0.06,FLAT,59.79,0.0576,77.96,ABOVE_EMA9,15.41,18.35
